Date,New Trend or MWR,Reversal Day?,Which Session,SVC Present?,Valid M/W/FD,Valid 50EMA retest entry on 15M TF?,Confluence with BBWP below 35?,Valid 50EMA retest entry on 1H TF?,Confluence with BBWP below 35?,3 levels on 1H TF?,% of move from Reversal until completion?,Did news reverse the trend?,,,,,,,,,,,,,
2025-08-18 00:00:00,MWR,Friday,UK,1.0,FDW,0.0,0.0,0.0,0.0,0.0,0.0516,1.0,,,,,,,,,,,,,
2025-08-18 00:00:00,Trend,Monday,DGZ,9.0,NA,0.0,0.0,0.0,0.0,1.0,0.0586,1.0,,,,,,,,,,,,,
2025-08-11 00:00:00,MWR,Thursday,Asia,0.0,M (Not Typical - ATH Week),0.0,0.0,0.0,0.0,1.0,0.0626,0.0,,,,,,,,,,,,,
2025-08-11 00:00:00,Trend,Tuesday,UK,1.0,W (Not ypical - more rounded),1.0,0.0,1.0,1.0,1.0,0.0548,1.0,,,,,,,,,,,,,
2025-08-04 00:00:00,Trend,Tuesday,US,0.0,W (1hr TF),1.0,0.0,1.0,1.0,0.0,0.0445,0.0,,,,,,,,,,,,,
2025-07-28 00:00:00,Trend,Tuesday,US,1.0,M,1.0,0.0,1.0,1.0,1.0,0.0467,0.0,,,,,,,,,,,,,
2025-07-21 00:00:00,MWR,Tuesday,Asia,1.0,W,1.0,0.0,1.0,0.0,0.0,0.0382,0.0,,,,,,,,,,,,,
2025-07-14 00:00:00,MWR,Thursday,DGZ,0.0,M,1.0,0.0,0.0,0.0,0.0,0.0344,0.0,,,,,,,,,,,,,
2025-07-07 00:00:00,MWR,Tuesday,US,0.0,FDW,1.0,0.0,1.0,1.0,0.0,0.0454,1.0,,,,,,,,,,,,,
2025-07-07 00:00:00,MWR,Tuesday,Asia,1.0,FDW,1.0,1.0,1.0,1.0,1.0,0.1068,0.0,,,,,,,,,,,,,
2025-06-30 00:00:00,FDW,Wednesday,Asia,1.0,FDW,0.0,0.0,0.0,0.0,1.0,0.0521,1.0,,,,,,,,,,,,,
2025-06-16 00:00:00,Range,Tuesday,US,0.0,W,1.0,1.0,1.0,1.0,0.0,0.0306,0.0,,,,,,,,,,,,,
2025-06-09 00:00:00,Trend,Monday,DGZ,0.0,M,1.0,0.0,1.0,0.0,1.0,0.0729,1.0,,,,,,,,,,,,,
2025-06-02 00:00:00,Range,Tuesday,US,0.0,FDM,1.0,1.0,1.0,1.0,1.0,0.0606,1.0,,,,,,,,,,,,,
2025-05-26 00:00:00,Trend,Tuesday,US,1.0,M,1.0,1.0,1.0,1.0,1.0,0.0637,0.0,,,,,,,,,,,,,
2025-05-19 00:00:00,Trend,Friday,UK,0.0,W,0.0,0.0,1.0,1.0,1.0,0.097,0.0,,,,,,,,,,,,,
2025-05-12 00:00:00,Range,Monday,US,1.0,W,1.0,0.0,1.0,1.0,0.0,0.0424,0.0,,,,,,,,,,,,,
2025-05-05 00:00:00,Trend,Thursday,DGZ,1.0,FDM,0.0,na,na,na,na,0.0,0.0,,,,,,,,,,,,,
2023-10-05 00:00:00,MWR,Wednesday,UK,0.0,M,1.0,1.0,1.0,1.0,1.0,0.0888,0.0,,,,,,,,,,,,,
2023-09-05 00:00:00,Trend,Monday,US,0.0,W,1.0,1.0,1.0,1.0,0.0,0.0389,1.0,,,,,,,,,,,,,
2023-01-05 00:00:00,Trend,Monday,US,0.0,W,1.0,1.0,1.0,1.0,1.0,0.0774,0.0,There were many mini trend reversals. This was a very tricky week.,,,,,,,,,,,,
27/04/2023,FDM,Thursday,US,0.0,FDM,0.0,na,0.0,na,0.0,0.0325,0.0,,,,,,,,,,,,,
26/04/2023,Trend,Wednesday,US,1.0,FDW,0.0,na,0.0,na,1.0,0.0962,0.0,,,,,,,,,,,,,
26/04/2023,MWR,Wednesday,US,0.0,FDM,0.0,na,0.0,na,0.0,0.0919,0.0,,,,,,,,,,,,,
24/04/2023,Trend,Monday,US,1.0,W,1.0,1.0,1.0,0.0,1.0,0.113,0.0,,,,,,,,,,,,,
18/04/2023,MWR,Tuesday,UK,0.0,M,0.0,na,0.0,na,1.0,0.1071,0.0,,,,,,,,,,,,,
14/04/2023,MWR,Friday,UK,1.0,FDM,1.0,0.0,0.0,na,0.0,0.033,1.0,,,,,,,,,,,,,
2023-05-04 00:00:00,MWR,Wednesday,Asia,1.0,M,1.0,1.0,1.0,1.0,0.0,0.037,1.0,,,,,,,,,,,,,
2023-03-30 00:00:00,MWR,Thursday,Asia,1.0,FDM,0.0,na,1.0,NA,0.0,5.7,0.0,,,,,,,,,,,,,
22/03/2023,MWR,Thursday,US,1.0,FDM,0.0,na,1.0,NA,0.0,5.37,1.0,,,,,,,,,,,,,
14/03/2023,Trend,Tuesday,UK,1.0,FDM,0.0,na,0.0,na,0.0,9.5,1.0,,,,,,,,,,,,,
15/03/2023,MWR,Wednseday,US,1.0,m,1.0,1.0,1.0,1.0,1.0,0.16,na,,,,,,,,,,,,,
2023-07-03 00:00:00,Trend,Tuesday,US,1.0,M,1.0,1.0,1.0,0.0,1.0,0.1347,1.0,,,,,,,,,,,,,
2023-01-03 00:00:00,Trend,Tuesday,US,0.0,na,0.0,0.0,0.0,0.0,0.0,0.0428,1.0,,,,,,,,,,,,,
2023-02-03 00:00:00,MWR,Wednesday,US,1.0,M,1.0,1.0,1.0,1.0,1.0,0.082,1.0,,,,,,,,,,,,,
20/02/2023,Trend,Monday,Asia,0.0,FDW,1.0,1.0,1.0,1.0,0.0,0.0582,0.0,,,,,,,,,,,,,
23/02/2023,MWR,Tuesday,US,1.0,FDM,1.0,1.0,1.0,0.0,1.0,9.31,0.0,,,,,,,,,,,,,
13/02/2023,Trend,Monday,UK,1.0,W,1.0,1.0,1.0,1.0,1.0,18.29,0.0,,,,,,,,,,,,,
16/02/2023,MWR,Thursday,US,1.0,FDM,1.0,0.0,0.0,na,0.0,7.55,1.0,,,,,,,,,,,,,
17/02/2023,Trend,Friday,DGZ,1.0,W,0.0,na,1.0,1.0,0.0,0.07,0.0,,,,,,,,,,,,,
2023-08-02 00:00:00,MWR,Wednesday,DGZ,1.0,FDM,1.0,1.0,1.0,1.0,1.0,8.56,1.0,,,,,,,,,,,,,
31/01/2023,Trend,Tuesday,DGZ,1.0,W,1.0,1.0,1.0,1.0,1.0,7.77,1.0,,,,,,,,,,,,,
2023-01-02 00:00:00,MWR,Wednesday,DGZ,1.0,M,0.0,na,0.0,na,0.0,4.32,1.0,,,,,,,,,,,,,
25/01/2023,Trend,Wednesday,DGZ,1.0,W,1.0,0.0,0.0,na,1.0,0.0679,0.0,This week was more of a range TBH,,,,,,,,,,,,
25/01/2023,MWR,Wednesday,US,1.0,FDW,0.0,na,0.0,na,1.0,0.0542,0.0,,,,,,,,,,,,,
16/01/2023,Trend,Monday,US,0.0,FDW,1.0,1.0,1.0,0.0,1.0,0.05,1.0,,,,,,,,,,,,,
18/01/2023,MWR,Wednesday,US,1.0,FDM,0.0,na,0.0,0.0,na,0.0575,1.0,,,,,,,,,,,,,
18/01/2023,Trend,Wednesday,US,1.0,FDW,1.0,1.0,1.0,1.0,1.0,0.1152,0.0,,,,,,,,,,,,,
2023-10-01 00:00:00,Trend,Tuesday DGZ,Asia,1.0,W,1.0,0.0,1.0,1.0,1.0,0.1681,0.0,,,,,,,,,,,,,
2023-02-01 00:00:00,Trend,Monday,Asia,0.0,na,na,na,na,na,na,0.0292,1.0,This whole week is basically a range.,,,,,,,,,,,,
27/12/2023,Trend,Monday,DGZ,1.0,FDM,1.0,1.0,1.0,1.0,1.0,0.0376,0.0,No News events this week. Week before Xmas.,,,,,,,,,,,,
19/12/2023,Trend,Monday,DGZ,1.0,FDW,1.0,0.0,1.0,0.0,0.0,0.0494,0.0,,,,,,,,,,,,,
,MWR,Tuesday,US,1.0,FDM,0.0,na,0.0,na,0.0,0.0292,0.0,,,,,,,,,,,,,
,Trend,Monday,Asia,1.0,W,1.0,0.0,1.0,0.0,1.0,0.09,1.0,,,,,,,,,,,,,
,MWR,Wednesday,US,1.0,FDM,1.0,1.0,1.0,0.0,1.0,0.1,1.0,,,,,,,,,,,,,
